ID_DATE,DATE_SNAPSHOT,NUMERO_SEMAINE,NOM_MOIS,ANNEE,NUM_TRIMESTRE,INTITULE_TRIMESTRE,NB_JOURS_FERIES,FLAG_ANNEE_BISSEXTILE
803,13/03/2012,11,March    ,2012,1,T1,0,O
804,14/03/2012,11,March    ,2012,1,T1,0,O
805,15/03/2012,11,March    ,2012,1,T1,0,O
806,16/03/2012,11,March    ,2012,1,T1,0,O
807,17/03/2012,11,March    ,2012,1,T1,0,O
808,18/03/2012,11,March    ,2012,1,T1,0,O
809,19/03/2012,12,March    ,2012,1,T1,0,O
810,20/03/2012,12,March    ,2012,1,T1,0,O
811,21/03/2012,12,March    ,2012,1,T1,0,O
812,22/03/2012,12,March    ,2012,1,T1,0,O
813,23/03/2012,12,March    ,2012,1,T1,0,O
814,24/03/2012,12,March    ,2012,1,T1,0,O
815,25/03/2012,12,March    ,2012,1,T1,0,O
816,26/03/2012,13,March    ,2012,1,T1,0,O
817,27/03/2012,13,March    ,2012,1,T1,0,O
818,28/03/2012,13,March    ,2012,1,T1,0,O
819,29/03/2012,13,March    ,2012,1,T1,0,O
820,30/03/2012,13,March    ,2012,1,T1,0,O
821,31/03/2012,13,March    ,2012,1,T1,0,O
822,01/04/2012,13,April    ,2012,2,T2,0,O
823,02/04/2012,14,April    ,2012,2,T2,0,O
824,03/04/2012,14,April    ,2012,2,T2,0,O
825,04/04/2012,14,April    ,2012,2,T2,0,O
826,05/04/2012,14,April    ,2012,2,T2,0,O
827,06/04/2012,14,April    ,2012,2,T2,0,O
1,01/01/2010,53,January  ,2010,1,T1,1,N
2,02/01/2010,53,January  ,2010,1,T1,0,N
3,03/01/2010,53,January  ,2010,1,T1,0,N
4,04/01/2010,1,January  ,2010,1,T1,0,N
5,05/01/2010,1,January  ,2010,1,T1,0,N
6,06/01/2010,1,January  ,2010,1,T1,0,N
7,07/01/2010,1,January  ,2010,1,T1,0,N
8,08/01/2010,1,January  ,2010,1,T1,0,N
9,09/01/2010,1,January  ,2010,1,T1,0,N
10,10/01/2010,1,January  ,2010,1,T1,0,N
11,11/01/2010,2,January  ,2010,1,T1,0,N
12,12/01/2010,2,January  ,2010,1,T1,0,N
13,13/01/2010,2,January  ,2010,1,T1,0,N
14,14/01/2010,2,January  ,2010,1,T1,0,N
15,15/01/2010,2,January  ,2010,1,T1,0,N
16,16/01/2010,2,January  ,2010,1,T1,0,N
17,17/01/2010,2,January  ,2010,1,T1,0,N
18,18/01/2010,3,January  ,2010,1,T1,0,N
19,19/01/2010,3,January  ,2010,1,T1,0,N
20,20/01/2010,3,January  ,2010,1,T1,0,N
21,21/01/2010,3,January  ,2010,1,T1,0,N
22,22/01/2010,3,January  ,2010,1,T1,0,N
23,23/01/2010,3,January  ,2010,1,T1,0,N
24,24/01/2010,3,January  ,2010,1,T1,0,N
25,25/01/2010,4,January  ,2010,1,T1,0,N
26,26/01/2010,4,January  ,2010,1,T1,0,N
27,27/01/2010,4,January  ,2010,1,T1,0,N
28,28/01/2010,4,January  ,2010,1,T1,0,N
29,29/01/2010,4,January  ,2010,1,T1,0,N
30,30/01/2010,4,January  ,2010,1,T1,0,N
31,31/01/2010,4,January  ,2010,1,T1,0,N
32,01/02/2010,5,February ,2010,1,T1,0,N
33,02/02/2010,5,February ,2010,1,T1,0,N
34,03/02/2010,5,February ,2010,1,T1,0,N
35,04/02/2010,5,February ,2010,1,T1,0,N
36,05/02/2010,5,February ,2010,1,T1,0,N
37,06/02/2010,5,February ,2010,1,T1,0,N
38,07/02/2010,5,February ,2010,1,T1,0,N
39,08/02/2010,6,February ,2010,1,T1,0,N
40,09/02/2010,6,February ,2010,1,T1,0,N
41,10/02/2010,6,February ,2010,1,T1,0,N
42,11/02/2010,6,February ,2010,1,T1,0,N
43,12/02/2010,6,February ,2010,1,T1,0,N
44,13/02/2010,6,February ,2010,1,T1,0,N
45,14/02/2010,6,February ,2010,1,T1,0,N
46,15/02/2010,7,February ,2010,1,T1,0,N
47,16/02/2010,7,February ,2010,1,T1,0,N
48,17/02/2010,7,February ,2010,1,T1,0,N
49,18/02/2010,7,February ,2010,1,T1,0,N
